#                                                                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
931188at2759_871575_1:000a86|NODE_432_length_20500_cov_66.510160:17526-19204  -            413 931188at2759         -            347  5.4e-139  458.6   4.4   1   1  1.6e-138  1.6e-138  457.1   4.4     1   347     1   411     1   411 0.87 -
931188at2759_41668_1:000cac|NODE_432_length_20500_cov_66.510160:17517-19210   -            422 931188at2759         -            347  1.3e-137  454.1   7.2   1   1  2.3e-136  2.3e-136  450.0   7.2     1   347     3   417     3   417 0.87 -
931188at2759_88456_1:001aa0|NODE_432_length_20500_cov_66.510160:17505-19228   -            432 931188at2759         -            347  1.4e-137  454.0   7.1   1   1  2.4e-136  2.4e-136  449.9   7.1     1   347     9   423     9   423 0.87 -
931188at2759_7739_0:000ead|NODE_432_length_20500_cov_66.510160:17505-19318    -            462 931188at2759         -            347    2e-137  453.5   7.1   1   1  3.1e-136  3.1e-136  449.6   7.1     1   347    39   453    39   453 0.87 -
931188at2759_84963_1:000e96|NODE_432_length_20500_cov_66.510160:17505-19366   -            478 931188at2759         -            347  2.3e-137  453.3   7.1   1   1  3.5e-136  3.5e-136  449.4   7.1     1   347    55   469    55   469 0.87 -
931188at2759_436017_0:0013bd|NODE_432_length_20500_cov_66.510160:17526-19210  -            421 931188at2759         -            347    3e-137  452.9   6.2   1   1  5.4e-136  5.4e-136  448.8   6.2     1   347     3   419     3   419 0.87 -
931188at2759_423536_1:0054a3|NODE_432_length_20500_cov_66.510160:17526-19252  -            435 931188at2759         -            347  3.4e-137  452.7   6.1   1   1  5.9e-136  5.9e-136  448.7   6.1     1   347    17   433    17   433 0.87 -
931188at2759_1041607_1:000b80|NODE_432_length_20500_cov_66.510160:17526-19282 -            458 931188at2759         -            347  3.1e-136  449.6   9.3   1   2   6.6e-91   6.6e-91  300.5   4.8     1   203    27   257    27   271 0.90 -
931188at2759_1041607_1:000b80|NODE_432_length_20500_cov_66.510160:17526-19282 -            458 931188at2759         -            347  3.1e-136  449.6   9.3   2   2   3.1e-45   3.1e-45  150.3   0.1   210   347   293   456   276   456 0.89 -
931188at2759_683960_1:00008d|NODE_432_length_20500_cov_66.510160:17526-19291  -            461 931188at2759         -            347  3.3e-136  449.5   9.3   1   2   6.7e-91   6.7e-91  300.5   4.8     1   203    30   260    30   274 0.90 -
931188at2759_683960_1:00008d|NODE_432_length_20500_cov_66.510160:17526-19291  -            461 931188at2759         -            347  3.3e-136  449.5   9.3   2   2   3.1e-45   3.1e-45  150.3   0.1   210   347   296   459   279   459 0.89 -
