#                                                                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
179362at2759_186990_0:001100|NODE_859_length_15811_cov_67.394560:11233-15222  -            735 179362at2759         -            938   2.3e-91  302.0  69.5   1   1   2.9e-91   2.9e-91  301.7  69.5     1   725     7   730     7   734 0.81 -
179362at2759_7375_0:002dd3|NODE_859_length_15811_cov_67.394560:11233-15294    -            896 179362at2759         -            938   2.4e-91  301.9  92.7   1   3   1.5e-86   1.6e-86  286.0  36.8     1   444     7   477     7   488 0.77 -
179362at2759_7375_0:002dd3|NODE_859_length_15811_cov_67.394560:11233-15294    -            896 179362at2759         -            938   2.4e-91  301.9  92.7   2   3    0.0013    0.0013   11.6  19.6   328   561   456   690   445   703 0.65 -
179362at2759_7375_0:002dd3|NODE_859_length_15811_cov_67.394560:11233-15294    -            896 179362at2759         -            938   2.4e-91  301.9  92.7   3   3   0.00093   0.00095   12.1  27.9   489   686   701   893   694   896 0.80 -
179362at2759_1213859_1:0033d3|NODE_859_length_15811_cov_67.394560:11233-15294 -            883 179362at2759         -            938   1.6e-90  299.2  55.4   1   2   1.6e-90   1.6e-90  299.2  55.4     1   682     7   722     7   735 0.80 -
179362at2759_1213859_1:0033d3|NODE_859_length_15811_cov_67.394560:11233-15294 -            883 179362at2759         -            938   1.6e-90  299.2  55.4   2   2      0.32      0.32    3.7  15.3   539   682   751   876   741   883 0.37 -
179362at2759_183478_1:001c42|NODE_859_length_15811_cov_67.394560:11233-14647  -            657 179362at2759         -            938   3.2e-90  298.2  52.8   1   1   4.1e-90   4.1e-90  297.9  52.8     1   620     7   646     7   655 0.71 -
179362at2759_39966_1:000e16|NODE_859_length_15811_cov_67.394560:11233-15279   -            883 179362at2759         -            938   5.4e-90  297.5  94.6   1   2     6e-85   6.1e-85  280.8  30.2     1   397     7   431     7   434 0.85 -
179362at2759_39966_1:000e16|NODE_859_length_15811_cov_67.394560:11233-15279   -            883 179362at2759         -            938   5.4e-90  297.5  94.6   2   2     2e-07     2e-07   24.2  71.8   226   739   373   877   366   882 0.71 -
179362at2759_703135_1:0003c9|NODE_859_length_15811_cov_67.394560:11233-15300  -            923 179362at2759         -            938   6.9e-90  297.1 100.1   1   2   6.6e-85   6.7e-85  280.6  30.2     1   397     7   431     7   434 0.85 -
179362at2759_703135_1:0003c9|NODE_859_length_15811_cov_67.394560:11233-15300  -            923 179362at2759         -            938   6.9e-90  297.1 100.1   2   2   1.1e-06   1.1e-06   21.8  75.9   227   754   374   893   368   906 0.73 -
179362at2759_50429_0:002004|NODE_859_length_15811_cov_67.394560:11233-15300   -            974 179362at2759         -            938     4e-89  294.6 109.5   1   4   6.6e-83   6.7e-83  274.0  29.6     1   396     7   415     7   417 0.86 -
