## 1.1.1
## assembly	: /in/data/genome_assembly.fasta
## coverage	 spades - /in/data/genome_assembly.fasta
## taxonomy	 tax0 - /in/data/blastn.fmt6.out.txt
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	spades	phylum.t.6%s	phylum.s.7%s	phylum.c.8
NODE_22_length_68392_cov_74.446373	68392	0.4379	0	74.4464	Chordata	313.0	0
NODE_23_length_67409_cov_78.812318	67409	0.4145	0	78.8123	Arthropoda	427.0	0
NODE_24_length_63878_cov_81.008652	63878	0.4168	10	81.0087	Chordata	974.0	0
NODE_29_length_51695_cov_71.095122	51695	0.3991	0	71.0951	no-hit	0.0	0
NODE_36_length_46386_cov_71.350364	46386	0.398	0	71.3504	no-hit	0.0	0
NODE_40_length_45336_cov_75.958992	45336	0.4303	0	75.959	Cnidaria	364.0	0
NODE_41_length_45154_cov_64.877321	45154	0.4044	0	64.8773	no-hit	0.0	0
NODE_42_length_44924_cov_76.432894	44924	0.4358	0	76.4329	no-hit	0.0	0
NODE_43_length_44601_cov_73.713907	44601	0.4158	0	73.7139	no-hit	0.0	0
NODE_57_length_39725_cov_68.016117	39725	0.4146	0	68.0161	no-hit	0.0	0
NODE_62_length_38928_cov_77.655530	38928	0.4246	0	77.6555	no-hit	0.0	0
NODE_63_length_38529_cov_71.912254	38529	0.41	0	71.9123	no-hit	0.0	0
NODE_65_length_38452_cov_67.054827	38452	0.4356	0	67.0548	Chordata	145.0	0
NODE_78_length_36923_cov_77.118547	36923	0.4279	0	77.1185	Arthropoda	270.0	0
NODE_79_length_36749_cov_88.805492	36749	0.404	0	88.8055	no-hit	0.0	0
NODE_82_length_36391_cov_68.627196	36391	0.4228	0	68.6272	no-hit	0.0	0
NODE_83_length_36217_cov_70.776868	36217	0.4172	0	70.7769	no-hit	0.0	0
NODE_87_length_35721_cov_68.973376	35721	0.4035	0	68.9734	no-hit	0.0	0
NODE_89_length_35462_cov_85.283934	35462	0.4075	0	85.2839	Platyhelminthes	231.0	0
NODE_91_length_35176_cov_68.520300	35176	0.4045	0	68.5203	Chordata	342.0	0
NODE_93_length_34902_cov_70.325714	34902	0.4116	0	70.3257	no-hit	0.0	0
NODE_94_length_34700_cov_70.392514	34700	0.407	0	70.3925	Arthropoda	309.0	0
NODE_96_length_34233_cov_85.717883	34233	0.4261	0	85.7179	Arthropoda	250.0	0
NODE_101_length_33679_cov_74.323403	33679	0.4115	0	74.3234	Oomycota	182.0	0
